01:38:35.203 [main] INFO  com.twitterapi.base.BaseLoader - Now Executing :com.twitterapi.base.BaseLoader
01:39:26.854 [main] INFO  com.twitterapi.base.BaseLoader - ================================================================
01:39:26.858 [main] INFO  com.twitterapi.base.BaseLoader - Now Executing :com.twitterapi.base.BaseLoader
01:39:55.359 [main] INFO  com.twitterapi.base.BaseLoader - ================================================================
01:39:55.364 [main] INFO  com.twitterapi.base.BaseLoader - Now Executing :com.twitterapi.base.BaseLoader
01:39:59.236 [main] INFO  com.twitterapi.base.BaseLoader - Here are the latest 5 tweets.
01:39:59.248 [main] INFO  com.twitterapi.base.BaseLoader - LatestTweet 1:Ready for something new? You’ve come to the right place. Tune in on 10/9. #madebygoogle https://t.co/jBdLYBAhry
01:39:59.248 [main] INFO  com.twitterapi.base.BaseLoader - LatestTweet 2:Aajo aajo bhut time ho gya.. waiting for the best show to start again brother👌..@KapilSharmaK9 https://t.co/pu8xlzmDvL
01:39:59.249 [main] INFO  com.twitterapi.base.BaseLoader - LatestTweet 3:This is an automated tweet, Created at 9th minute.
01:39:59.249 [main] INFO  com.twitterapi.base.BaseLoader - LatestTweet 4:This is an automated tweet, Created at 8th minute.
01:39:59.249 [main] INFO  com.twitterapi.base.BaseLoader - LatestTweet 5:This is an automated tweet, Created at 4th minute.
01:44:09.069 [main] INFO  com.twitterapi.base.BaseLoader - ================================================================
01:44:09.074 [main] INFO  com.twitterapi.base.BaseLoader - Now Executing :com.twitterapi.base.BaseLoader
